Title,Owner name,Salary Range,Location,Job,Job Posting Date
International Cuisine Chef,The Yard,"Tk 35,000 - 40,000",Dhaka,Chef,2 days
রেস্টুরেন্টে একজন তান্দুর রুটি রুটির কারিগর লাগবে,owner,"Tk 15,000 - 18,000",Dhaka Division,Chef,5 days
chinese sheaf dorkar,restaurant kortipokkho,Not found,Khulna,Chef,9 days
Chef In Uttara,Usaz92,Not found,Dhaka,Chef,9 days
জরুরী শেফ প্রয়োজন,female owner,"Tk 12,000 - 18,000",Dhaka,Chef,10 days
নাস্তা জন্য কারিগর প্রয়োজন,সাইফুল,"Tk 15,000 - 25,000",Chattogram,Chef,14 days
হোষ্টলের রান্নার জন্য মহিলা লোক দরকার।,মো: এমরান মল্লিক,"Tk 6,500 - 7,000",Barishal,Chef,15 days
সিলেটে কাবাব কারিগর হেল্পারের চাকরি,Siddique Food,"Tk 10,000 - 12,000",Sylhet,Chef,23 days
Exclusive Chef Need,owner,Not found,Chattogram,Chef,27 days
Md Rasel Hasen,owner,"Tk 10,000 - 12,000",Dhaka Division,Chef,29 days
বাংলা হোটেলে কারিগর দরকার,রফিকুল ইসলাম,"Tk 15,000 - 21,000",Dhaka Division,Chef,29 days
Head Chef need,owner,Not found,Dhaka Division,Chef,30 days
Chef job in Dhaka,Janesar Alam,"Tk 8,000 - 10,000",Dhaka,Chef,31 days
ফুডকার্টের জন্য সেফ প্রয়োজন,Fast Food,"Tk 15,000 - 18,000",Dhaka,Chef,33 days
Chef Job,Fast Food macking,"Tk 15,000 - 25,000",Khulna Division,Chef,35 days
waffle chef,sujat,"Tk 15,000 - 20,000",Dhaka Division,Chef,35 days
Head Chef need (Male),owner,Not found,Sylhet,Chef,36 days
Food cart chef,Momo Blast,"Tk 14,000 - 16,000",Dhaka,Chef,39 days
ঢাকার গুলশানে শেফ (বাবুর্চি) এর চাকরি,ABM Emrul Hasan,"Tk 15,000 - 22,000",Dhaka,Chef,40 days
Need Head Chef,owner,"Tk 4,000 - 4,500",Khulna Division,Chef,42 days
মহিলা বাবুর্চি,রুবেল,"Tk 10,000 - 12,000",Chattogram Division,Chef,45 days
ঢাকার গুলশানে শেফ (বাবুর্চি) এর চাকরি,ABM Emrul Hasan,Not found,Dhaka,Chef,57 days
